Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,EVC Mode,HA Protection,VM Storage Policies Compliance,Managed By,Host,Host Type,Guest Mem - %,Guest OS,Compatibility,Memory Size,Reservation,CPUs,NICs,Uptime,IP Address,VMware Tools Version Status,"VMware Tools Running 
Status",DNS Name,UUID,Notes,Alarm Actions,Needs Consolidation,Encryption,Datacenter,Cluster,Shares Value,Limit - IOPs,Datastore % Shares
daepprdasy01.prd,Powered Off,Normal,1.17  TB,598.06  GB,0,0,,N/A,--,,m630b607.esx.utshare.local,ESXi,0,Oracle Linux 4/5 or later (64-bit),ESXi 6.0 and later (VM version 11),16  GB,0  B,8,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daepprdasy01.prd.utshare.local,4234ed31-0428-3769-341c-e9c976587a5d,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daepprddby01.prd,Powered Off,Normal,808.22  GB,404.03  GB,0,0,,N/A,--,,m630b608.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),32  GB,0  B,6,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daepprddby01.prd.utshare.local,42342c18-d4f4-0b97-c543-1548f57c548d,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daepprddsy01.prd,Powered Off,Normal,808.26  GB,404.07  GB,0,0,,N/A,--,,m630b603.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),32  GB,0  B,6,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daepprddsy01.prd.utshare.local,4234bedf-354c-abf1-cfc2-75c61e483750,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daeptstasy01.tst,Powered Off,Normal,1.17  TB,598.06  GB,0,0,,N/A,--,,m630b606.esx.utshare.local,ESXi,0,Oracle Linux 4/5 or later (64-bit),ESXi 6.0 and later (VM version 11),16  GB,0  B,8,1,0 second,,guestToolsUnmanaged|10309,Not running,daeptstasy01.tst.utshare.local,42348257-2bb4-3328-a457-4275b3d5d533,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daobdevasy01.dev,Powered Off,Normal,796.21  GB,398.06  GB,0,0,,N/A,--,,m630b606.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),16  GB,0  B,8,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daobdevasy01.dev.utshare.local,42347d07-a3c4-5509-62ff-1d511b6ac4dd,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daobdevasy02.dev,Powered Off,Normal,796.21  GB,398.06  GB,0,0,,N/A,--,,m630b604.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),16  GB,0  B,8,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daobdevasy02.dev.utshare.local,4234f6f8-212f-b6cf-afd1-1aa35327db1a,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daobdevasy03.dev,Powered Off,Normal,796.21  GB,398.06  GB,0,0,,N/A,--,,m630b602.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),16  GB,0  B,8,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daobdevasy03.dev.utshare.local,42342f2e-a2e7-0ce9-00d2-c62e563f9cb1,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daobdevasy04.dev,Powered Off,Normal,796.21  GB,398.06  GB,0,0,,N/A,--,,m630b604.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),16  GB,0  B,8,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daobdevasy04.dev.utshare.local,42343e1e-dd8e-a3e4-f8f2-c6e15c0326a1,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daobdevdby01.dev,Powered Off,Normal,1.24  TB,634.06  GB,0,0,,N/A,--,,m630b609.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),32  GB,0  B,8,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daobdevdby01.dev.utshare.local,4234cdf8-879a-61c1-d130-cf2c3af500bd,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
daobdevdby02.dev,Powered Off,Normal,1.24  TB,634.06  GB,0,0,,N/A,--,,m630b610.esx.utshare.local,ESXi,0,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),32  GB,0  B,8,1,0 second,,guestToolsUnmanaged|2147483647,Not running,daobdevdby02.dev.utshare.local,4234236b-5495-2457-0dfe-83177169c337,"** DO NOT DELETE ** Powering off unused OBIA system to save resources, Snapshots taken immediately prior to shutdowns. 18 April 2019 - bconnor",Enabled,Not Required,No,SITE-B-UDCC,OBIA-B,,,
